epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.37715,3.29687,4.09497,3.08567,0.0069,0.37037,0.00878,0.0044,1.46615,3.09453,1.19046,0.0001,0.0001,0.0001
2,4.03124,2.97235,3.97187,2.76364,0.00563,0.30247,0.01735,0.00444,1.82545,3.27015,1.37049,0.000217822,0.000217822,0.000217822
3,5.73444,2.12881,3.45599,2.05172,0.00218,0.11728,0.01877,0.00816,2.79353,3.81794,2.07366,0.000333268,0.000333268,0.000333268
4,7.35624,1.81035,3.02603,1.69517,0.00138,0.07407,0.00188,0.00053,3.18781,3.95515,2.49362,0.000446338,0.000446338,0.000446338
5,8.94903,1.65153,2.73177,1.54382,0.00172,0.09259,0.00106,0.00024,3.38803,4.01418,2.73143,0.000557032,0.000557032,0.000557032
6,10.5659,1.4526,2.30688,1.43619,0.00195,0.10494,0.00116,0.00032,3.44728,4.10384,2.77561,0.00066535,0.00066535,0.00066535
7,12.1455,1.5038,2.33327,1.48675,0.0023,0.12346,0.00143,0.00036,3.58445,4.04827,2.8274,0.000771292,0.000771292,0.000771292
8,13.7507,1.46249,2.11405,1.41664,0.00207,0.11111,0.00126,0.00032,3.70782,4.12342,2.77187,0.000874858,0.000874858,0.000874858
9,15.3315,1.38438,2.06223,1.39912,0.00253,0.1358,0.00165,0.00036,3.9376,4.26925,3.73307,0.000976048,0.000976048,0.000976048
10,16.9314,1.25657,1.86771,1.31731,0.00218,0.11728,0.00133,0.00035,4.02341,4.38903,3.8881,0.00107486,0.00107486,0.00107486
11,18.4732,1.21401,1.763,1.29239,0.26911,0.00617,0.00403,0.00062,3.95076,4.21714,3.57503,0.0011713,0.0011713,0.0011713
12,20.0655,1.17293,1.67623,1.24723,0.00218,0.11728,0.0015,0.0005,3.83807,4.30744,3.5164,0.00126536,0.00126536,0.00126536
13,21.6488,1.32156,1.61017,1.36668,0.00264,0.14198,0.00198,0.00057,4.02282,4.2728,3.49775,0.00135705,0.00135705,0.00135705
14,23.2614,1.21027,1.61851,1.25909,0.00253,0.1358,0.00251,0.0006,3.85819,4.15623,3.44342,0.00144636,0.00144636,0.00144636
15,24.8485,1.27149,1.64433,1.33068,0.00241,0.12963,0.00188,0.00046,3.94043,4.24659,3.57263,0.00153329,0.00153329,0.00153329
16,26.4421,1.21946,1.41171,1.2319,0.01721,0.00617,0.00178,0.00042,3.86502,4.40079,3.42187,0.00161785,0.00161785,0.00161785
17,28.0067,1.22573,1.41535,1.26822,0.00792,0.00617,0.00166,0.00049,3.91846,4.36296,3.51665,0.0016832,0.0016832,0.0016832
18,29.5818,1.19814,1.39859,1.25769,0.01053,0.01852,0.00174,0.00045,3.96805,4.2494,3.45016,0.0016634,0.0016634,0.0016634
19,31.1423,1.07849,1.29683,1.1745,0.16546,0.00617,0.00266,0.00053,4.11568,4.11876,3.5938,0.0016436,0.0016436,0.0016436
